query_id,persona_id,split,status,gold_count,memory_count,updated,topic_query,gold_relative_position
train-00042,471,train,aligned,2,109,TRUE,Travel,0.3888888888888889
train-00043,113,train,aligned,2,135,FALSE,health,0.6716417910447762
train-00044,553,train,aligned,1,129,FALSE,Food,0.296875
train-00045,855,train,aligned,1,118,FALSE,Games,0.46153846153846156
train-00046,658,train,aligned,2,104,TRUE,outdoors,0.47572815533980584
train-00047,862,train,aligned,1,128,FALSE,Mental Health,0.7322834645669292
train-00048,576,train,missing_exact_sequence,0,103,FALSE,Finance,
train-00049,726,train,aligned,2,105,FALSE,Home,0.5673076923076923
train-00050,413,train,aligned,2,102,FALSE,travel,0.5643564356435643
train-00051,642,val,aligned,1,114,FALSE,Travel,0.6902654867256637
train-00052,31,val,aligned,1,104,FALSE,Health,0.6601941747572816
train-00053,368,train,aligned,1,124,FALSE,Food,0.17886178861788618
train-00054,423,train,aligned,2,129,FALSE,home,0.5703125
train-00055,819,train,aligned,1,107,FALSE,Relaxation,0.6509433962264151
train-00056,79,val,missing_exact_sequence,0,124,FALSE,technology,
train-00057,791,train,aligned,2,114,FALSE,Sports,0.4336283185840708
train-00058,965,val,aligned,2,130,TRUE,Work,0.37209302325581395
train-00059,472,train,aligned,2,110,TRUE,Work,0.5412844036697247
train-00060,98,train,aligned,2,104,FALSE,Entertainment,0.07766990291262135
train-00061,552,train,aligned,1,96,FALSE,Fitness,0.10526315789473684
train-00062,127,train,aligned,2,112,FALSE,Mental Health,0.44144144144144143
train-00063,461,val,aligned,2,134,FALSE,Health,0.8045112781954887
train-00064,412,train,aligned,2,125,FALSE,Relationships,0.11290322580645161
train-00065,352,train,missing_exact_sequence,0,96,FALSE,work,
train-00066,393,train,aligned,1,114,FALSE,Travel,0.23893805309734514
train-00067,732,train,aligned,2,99,FALSE,Health,0.5510204081632653
train-00068,490,train,aligned,2,85,FALSE,fashion,0.5357142857142857
train-00069,113,train,aligned,2,135,FALSE,Astronomy,0.5895522388059702
train-00070,878,train,aligned,2,101,FALSE,Food,0.12
train-00071,27,train,missing_exact_sequence,0,119,FALSE,Travel,
train-00072,981,train,aligned,2,112,FALSE,Entertainment,0.009009009009009009
train-00073,854,train,aligned,1,92,FALSE,Fitness,0.4725274725274725
train-00074,538,val,aligned,2,120,FALSE,Food,0.40336134453781514
train-00075,945,val,aligned,1,94,FALSE,News,0.6344086021505376
train-00076,759,train,missing_exact_sequence,0,133,FALSE,community,
train-00077,747,val,aligned,1,124,FALSE,Sports,0.8292682926829268
train-00078,851,train,aligned,2,100,TRUE,Travel,0.5353535353535354
train-00079,359,train,aligned,1,136,FALSE,Shopping,0.4666666666666667
train-00080,48,train,aligned,2,106,TRUE,Travel,0.638095238095238
train-00081,440,train,aligned,1,119,FALSE,communication,0.2457627118644068
train-00082,212,val,aligned,1,115,FALSE,Food,0.5701754385964912
train-00083,232,train,aligned,1,104,FALSE,Sports,0.4174757281553398
train-00084,366,train,aligned,2,107,FALSE,Nature,0.6415094339622641
train-00085,983,train,aligned,2,114,FALSE,Work,0.5663716814159292
train-00086,157,train,aligned,2,127,TRUE,Food,0.5317460317460317
train-00087,111,val,aligned,1,113,FALSE,health,0.6785714285714286
train-00088,284,train,aligned,2,130,TRUE,Music,0.10077519379844961
train-00089,401,train,aligned,2,110,FALSE,Food,0.44036697247706424
train-00090,91,train,aligned,3,109,FALSE,travel,0.2777777777777778
train-00091,794,train,missing_exact_sequence,0,124,FALSE,travel,
train-00092,122,train,aligned,1,118,FALSE,health,0.11965811965811966
train-00093,762,train,aligned,2,119,TRUE,Travel,0.652542372881356
train-00094,783,train,missing_exact_sequence,0,117,FALSE,technology,
train-00095,742,train,aligned,2,127,FALSE,Health,0.5634920634920635
train-00096,779,val,missing_exact_sequence,0,129,FALSE,work,
train-00097,871,train,aligned,1,95,FALSE,Self-esteem,0.2553191489361702
train-00098,45,train,aligned,2,129,TRUE,Entertainment,0.203125
train-00099,384,train,aligned,2,114,TRUE,Friendship,0.1504424778761062
train-00100,284,train,aligned,2,130,FALSE,entertainment,0.007751937984496124
train-00101,130,train,aligned,1,113,FALSE,Travel,0.5535714285714286
train-00102,501,train,aligned,1,128,FALSE,Entertainment,0.8188976377952756
train-00103,585,train,aligned,2,96,FALSE,Health,0.042105263157894736
train-00104,993,train,aligned,2,98,FALSE,Travel,0.20618556701030927
train-00105,540,train,aligned,2,126,FALSE,Food,0.456
train-00106,326,train,aligned,1,110,FALSE,collecting,0.5045871559633027
train-00107,798,train,aligned,1,117,FALSE,Travel,0.5344827586206896
train-00108,754,train,aligned,1,124,FALSE,Wellness,0.5934959349593496
train-00109,509,train,aligned,1,132,FALSE,Food,0.816793893129771
train-00110,847,train,missing_exact_sequence,0,111,FALSE,business,
train-00111,316,train,aligned,1,105,FALSE,travel,0.4519230769230769
train-00112,724,train,aligned,1,110,FALSE,Crafts,0.6238532110091743
train-00113,708,train,aligned,2,119,TRUE,Community,0.7033898305084746
train-00114,177,train,aligned,2,133,FALSE,Health,0.21212121212121213
train-00115,514,train,aligned,2,118,FALSE,Food,0.452991452991453
train-00116,732,train,aligned,2,99,FALSE,leisure,0.2857142857142857
train-00117,160,train,aligned,1,111,FALSE,Travel,0.06363636363636363
train-00118,170,train,aligned,1,123,FALSE,Confidence,0.5983606557377049
train-00119,666,train,aligned,2,131,TRUE,Music,0.49230769230769234
train-00120,400,val,aligned,2,100,FALSE,Work,0.31313131313131315
train-00121,877,train,aligned,1,134,FALSE,decision-making,0.06015037593984962
train-00122,597,val,aligned,2,116,TRUE,Events,0.017391304347826087
train-00123,487,train,aligned,2,127,TRUE,Food,0.1984126984126984
train-00124,9,val,aligned,1,128,FALSE,Outdoors,0.7716535433070866
train-00125,458,train,aligned,1,109,FALSE,selfcare,0.5925925925925926
train-00126,393,train,aligned,1,114,FALSE,Health,0.5575221238938053
train-00127,16,val,aligned,1,103,FALSE,Fitness,0.6274509803921569
train-00128,490,train,aligned,1,85,FALSE,mindfulness,0.40476190476190477
train-00129,710,train,missing_exact_sequence,0,102,FALSE,entertainment,
train-00130,201,train,aligned,2,118,TRUE,Food,0.1111111111111111
train-00131,876,train,missing_exact_sequence,0,115,FALSE,technology,
train-00132,418,train,aligned,1,126,FALSE,health,0.736
train-00133,481,train,aligned,1,105,FALSE,Leisure,0.7211538461538461
train-00134,763,train,aligned,1,116,FALSE,Leisure,0.12173913043478261
train-00135,21,train,aligned,1,106,FALSE,Sports,0.7904761904761904
train-00136,108,train,aligned,1,102,FALSE,productivity,0.6534653465346535
train-00137,219,train,aligned,1,118,FALSE,Entertainment,0.6495726495726496
train-00138,250,train,aligned,2,114,FALSE,Food,0.07964601769911504
train-00139,464,train,aligned,2,115,TRUE,Family,0.7631578947368421
train-00140,129,train,aligned,2,118,TRUE,Travel,0.08547008547008547
train-00141,625,train,missing_exact_sequence,0,131,FALSE,volunteering,
train-00142,170,train,aligned,2,123,FALSE,Food,0.5
train-00143,113,train,aligned,1,135,FALSE,travel,0.04477611940298507
train-00144,87,train,aligned,2,131,FALSE,Food,0.676923076923077
train-00145,712,train,aligned,1,87,FALSE,Hobbies,0.5697674418604651
train-00146,124,train,aligned,1,122,FALSE,Grief,0.4049586776859504
train-00147,738,train,aligned,1,132,FALSE,Health,0.03816793893129771
train-00148,20,train,aligned,2,115,TRUE,Health,0.39473684210526316
train-00149,147,train,missing_exact_sequence,0,89,FALSE,business,
train-00150,774,train,aligned,2,123,FALSE,Home,0.5983606557377049
train-00151,196,train,aligned,2,93,FALSE,Transportation,0.5543478260869565
train-00152,727,train,aligned,1,136,FALSE,Entertainment,0.8
train-00153,172,val,aligned,2,137,FALSE,Culture,0.1323529411764706
train-00154,336,train,aligned,2,122,TRUE,Health,0.6033057851239669
train-00155,788,train,missing_exact_sequence,0,102,FALSE,technology,
train-00156,511,train,aligned,1,116,FALSE,Health,0.2608695652173913
train-00157,223,train,aligned,1,123,FALSE,travel,0.5491803278688525
train-00158,881,train,missing_exact_sequence,0,106,FALSE,finance,
train-00159,41,train,aligned,1,115,FALSE,music,0.2631578947368421
train-00160,227,train,aligned,2,107,FALSE,Wellness,0.2169811320754717
train-00161,99,train,missing_exact_sequence,0,136,FALSE,technology,
train-00162,380,train,aligned,1,125,FALSE,Relaxation,0.8467741935483871
train-00163,926,train,aligned,1,108,FALSE,Work,0.6542056074766355
train-00164,160,train,aligned,2,111,TRUE,Food,0.7181818181818181
train-00165,127,train,aligned,2,112,TRUE,Family,0.5765765765765766
train-00166,514,train,aligned,1,118,FALSE,Motivation,0.7606837606837606
train-00167,817,train,aligned,1,100,FALSE,Health,0.5050505050505051
train-00168,469,train,aligned,2,98,FALSE,Travel,0.4742268041237113
train-00169,791,train,aligned,1,114,FALSE,Mental Health,0.21238938053097345
train-00170,854,train,aligned,2,92,FALSE,Sports,0.08791208791208792
train-00171,90,train,aligned,1,114,FALSE,Travel,0.061946902654867256
train-00172,190,train,aligned,2,85,FALSE,Photography,0.44047619047619047
train-00173,908,train,aligned,2,113,FALSE,Travel,0.6875
train-00174,852,train,aligned,2,114,FALSE,Food,0.035398230088495575
train-00175,573,val,aligned,1,127,FALSE,Food,0.1984126984126984
train-00176,454,train,aligned,1,97,FALSE,Food,0.041666666666666664
train-00177,916,train,aligned,1,84,FALSE,Home,0.6867469879518072
train-00178,504,val,aligned,1,125,FALSE,Motivation,0.1532258064516129
train-00179,950,train,aligned,2,126,TRUE,Health,0.32
train-00180,489,train,aligned,2,111,FALSE,Sports,0.7909090909090909
train-00181,860,train,missing_exact_sequence,0,119,FALSE,business,
train-00182,102,train,aligned,1,124,FALSE,Socializing,0.3333333333333333
train-00183,781,val,aligned,2,115,TRUE,Fashion,0.42105263157894735
train-00184,552,train,aligned,1,96,FALSE,Mental Health,0.7263157894736842
train-00185,874,train,aligned,2,95,FALSE,Travel,0.5638297872340425
train-00186,191,train,aligned,2,126,FALSE,Entertainment,0.16
train-00187,104,val,aligned,1,118,FALSE,Travel,0.4700854700854701
train-00188,196,train,aligned,2,93,FALSE,Home Decor,0.09782608695652174
train-00189,348,train,aligned,2,112,FALSE,entertainment,0.1981981981981982
train-00190,402,train,aligned,1,100,FALSE,Food,0.32323232323232326
train-00191,180,train,aligned,1,120,FALSE,Work,0.46218487394957986
train-00192,352,train,aligned,1,96,FALSE,Health,0.2631578947368421
train-00193,835,train,aligned,2,97,FALSE,Travel,0.20833333333333334
train-00194,186,val,missing_exact_sequence,0,118,FALSE,security,
train-00195,574,train,aligned,1,115,FALSE,nature,0.34210526315789475
train-00196,685,val,aligned,1,93,FALSE,Fashion,0.6413043478260869
train-00197,676,val,aligned,2,103,TRUE,Work,0.5686274509803921
train-00198,605,train,aligned,2,129,FALSE,Finance,0.2265625
train-00199,723,train,aligned,2,115,FALSE,Fitness,0.6403508771929824
train-00200,169,train,missing_exact_sequence,0,123,FALSE,transportation,
train-00201,768,val,aligned,2,117,FALSE,Entertainment,0.008620689655172414
train-00202,154,train,missing_exact_sequence,0,116,FALSE,licensing,
train-00203,452,train,aligned,1,105,FALSE,Charity,0.625
train-00204,177,train,aligned,2,133,FALSE,Health,0.8863636363636364
train-00205,921,train,aligned,2,130,TRUE,Food,0.015503875968992248
train-00206,544,val,aligned,1,107,FALSE,Communication,0.33962264150943394
train-00207,121,train,aligned,2,139,FALSE,health,0.8115942028985508
train-00208,577,train,aligned,2,130,FALSE,food,0.07751937984496124
train-00209,448,val,aligned,2,128,FALSE,Travel,0.4409448818897638
train-00210,981,train,aligned,2,112,FALSE,Leisure,0.5045045045045045
train-00211,161,train,aligned,1,124,FALSE,fashion,0.6585365853658537
train-00212,435,train,aligned,1,115,FALSE,Entertainment,0.7105263157894737
train-00213,202,train,aligned,2,115,FALSE,Lifestyle,0.47368421052631576
train-00214,388,train,aligned,1,126,FALSE,Travel,0.392
train-00215,569,train,aligned,2,139,TRUE,Work,0.34057971014492755
train-00216,11,val,aligned,2,109,FALSE,Health,0.5462962962962963
train-00217,105,train,aligned,1,112,FALSE,Health,0.5315315315315315
train-00218,226,val,aligned,2,126,FALSE,Home,0.16
train-00219,487,train,aligned,2,127,FALSE,Mental Health,0.3888888888888889
train-00220,353,val,aligned,2,111,TRUE,Music,0.06363636363636363
train-00221,804,val,aligned,2,108,TRUE,Food,0.5700934579439252
train-00222,112,val,aligned,1,119,FALSE,cars,0.5847457627118644
train-00223,113,train,aligned,1,135,FALSE,travel,0.5074626865671642
train-00224,683,train,aligned,2,108,FALSE,Relationships,0.11214953271028037
train-00225,390,val,aligned,2,110,FALSE,Health,0.23853211009174313
train-00226,688,train,aligned,2,108,FALSE,Travel,0.009345794392523364
train-00227,695,train,missing_exact_sequence,0,102,FALSE,travel,
train-00228,431,val,aligned,2,128,TRUE,Food,0.16535433070866143
train-00229,886,train,aligned,2,106,FALSE,Travel,0.4
train-00230,774,train,aligned,2,123,TRUE,Music,0.01639344262295082
train-00231,953,val,aligned,2,137,TRUE,Food,0.5661764705882353
train-00232,155,train,aligned,2,114,FALSE,outdoors,0.7345132743362832
train-00233,956,train,aligned,2,130,TRUE,Relationships,0.5348837209302325
train-00234,698,train,aligned,2,122,FALSE,Work,0.14049586776859505
train-00235,669,train,aligned,1,98,FALSE,Books,0.17525773195876287
train-00236,950,train,aligned,2,126,TRUE,Travel,0.248
train-00237,880,train,aligned,2,104,FALSE,entertainment,0.6504854368932039
train-00238,188,train,aligned,2,133,FALSE,Outdoors,0.25
train-00239,596,train,aligned,2,121,TRUE,Entertainment,0.4583333333333333
train-00240,907,train,aligned,1,103,FALSE,Health,0.5882352941176471
train-00241,722,val,aligned,1,133,FALSE,Food,0.4090909090909091
train-00242,743,train,aligned,1,130,FALSE,Volunteering,0.09302325581395349
train-00243,614,train,aligned,2,105,FALSE,Entertainment,0.019230769230769232
train-00244,666,train,aligned,2,131,FALSE,Mental Health,0.23846153846153847
train-00245,40,train,aligned,1,110,FALSE,Travel,0.3761467889908257
train-00246,919,train,aligned,1,104,FALSE,music,0.7766990291262136
train-00247,190,train,missing_exact_sequence,0,85,FALSE,technology,
train-00248,443,train,aligned,2,119,FALSE,Food,0.3305084745762712
train-00249,350,train,aligned,2,85,FALSE,travel,0.4880952380952381
train-00250,482,train,aligned,1,119,FALSE,Relationships,0.5
train-00251,28,train,aligned,1,112,FALSE,Outdoors,0.3783783783783784
train-00252,279,train,aligned,1,122,FALSE,entertainment,0.8181818181818182
train-00253,835,train,aligned,1,97,FALSE,Travel,0.3645833333333333
train-00254,925,val,aligned,2,134,TRUE,Travel,0.7368421052631579
train-00255,647,val,aligned,2,111,TRUE,Photography,0.6
train-00256,663,train,missing_exact_sequence,0,84,FALSE,celebration,
train-00257,756,train,aligned,2,106,TRUE,Jewelry,0.3523809523809524
train-00258,448,val,aligned,2,128,FALSE,Food,0.7716535433070866
train-00259,62,val,aligned,2,122,FALSE,Health,0.7272727272727273
train-00260,405,train,aligned,2,110,TRUE,Travel,0.47706422018348627
train-00261,423,train,aligned,2,129,FALSE,health,0.3125
train-00262,983,train,aligned,1,114,FALSE,Relationships,0.8053097345132744
train-00263,195,train,aligned,2,136,TRUE,Travel,0.725925925925926
train-00264,847,train,aligned,2,111,FALSE,Health,0.42727272727272725
train-00265,825,train,aligned,2,124,FALSE,Health,0.06504065040650407
train-00266,733,train,aligned,2,113,TRUE,Entertainment,0.3392857142857143
train-00267,828,train,aligned,2,115,FALSE,Crafts,0.6578947368421053
train-00268,597,val,aligned,1,116,FALSE,Books,0.6782608695652174
train-00269,611,train,aligned,1,114,FALSE,Travel,0.504424778761062
train-00270,93,val,aligned,2,107,FALSE,Food,0.5283018867924528
train-00271,519,train,aligned,1,119,FALSE,Health,0.0
train-00272,871,train,missing_exact_sequence,0,95,FALSE,government,
train-00273,69,train,missing_exact_sequence,0,134,FALSE,business,
train-00274,274,train,aligned,2,103,TRUE,Travel,0.9803921568627451
train-00275,413,train,aligned,1,102,FALSE,home,0.6732673267326733
train-00276,220,train,aligned,2,124,FALSE,Fitness,0.8780487804878049
train-00277,890,val,aligned,1,118,FALSE,Mental Health,0.7692307692307693
train-00278,841,train,aligned,2,121,TRUE,Entertainment,0.05
train-00279,889,train,aligned,1,117,FALSE,Productivity,0.5689655172413793
train-00280,173,train,aligned,1,136,FALSE,Culture,0.5407407407407407
train-00281,390,val,aligned,1,110,FALSE,food,0.6880733944954128
train-00282,167,train,missing_exact_sequence,0,95,FALSE,business,
train-00283,724,train,missing_exact_sequence,0,110,FALSE,business,
train-00284,409,val,aligned,1,111,FALSE,Mental Health,0.6454545454545455
train-00285,736,val,missing_exact_sequence,0,107,FALSE,privacy,
train-00286,197,train,aligned,1,83,FALSE,Entertainment,0.6463414634146342
train-00287,204,train,aligned,2,110,FALSE,Travel,0.42201834862385323
train-00288,33,train,aligned,1,112,FALSE,Music,0.5315315315315315
train-00289,465,train,aligned,2,115,TRUE,Entertainment,0.32456140350877194
train-00290,799,val,aligned,2,123,TRUE,LGBTQ,0.6721311475409836
train-00291,465,train,aligned,2,115,FALSE,Food,0.8157894736842105
train-00292,555,train,aligned,2,127,TRUE,Friendship,0.3412698412698413
train-00293,195,train,aligned,2,136,FALSE,Productivity,0.37037037037037035
train-00294,788,train,aligned,2,102,TRUE,Running,0.6534653465346535
train-00295,238,train,aligned,2,121,TRUE,Work,0.44166666666666665
train-00296,594,train,missing_exact_sequence,0,105,FALSE,travel,
train-00297,831,train,aligned,1,119,FALSE,Productivity,0.15254237288135594
train-00298,224,train,aligned,3,118,FALSE,News,0.5470085470085471
train-00299,614,train,aligned,1,105,FALSE,Food,0.7019230769230769
train-00300,268,train,aligned,1,139,FALSE,news,0.21014492753623187
train-00301,385,train,aligned,1,123,FALSE,food,0.5983606557377049
train-00302,155,train,aligned,1,114,FALSE,emotions,0.7433628318584071
train-00303,317,val,aligned,1,109,FALSE,food,0.25
train-00304,267,train,aligned,2,131,FALSE,plants,0.6615384615384615
train-00305,631,train,aligned,2,132,FALSE,travel,0.7251908396946565
train-00306,251,val,aligned,2,130,FALSE,social media,0.5658914728682171
train-00307,835,train,aligned,1,97,FALSE,Entertainment,0.3125
train-00308,881,train,aligned,1,106,FALSE,Education,0.5238095238095238
train-00309,809,val,aligned,2,120,TRUE,Health,0.7983193277310925
train-00310,414,train,aligned,2,136,FALSE,Crafts,0.725925925925926
train-00311,491,train,aligned,1,100,FALSE,Food,0.7474747474747475
train-00312,962,train,missing_exact_sequence,0,118,FALSE,travel,
train-00313,197,train,aligned,2,83,FALSE,Self-improvement,0.4024390243902439
train-00314,17,train,aligned,1,121,FALSE,Food,0.44166666666666665
train-00315,976,train,missing_exact_sequence,0,124,FALSE,tech,
train-00316,872,train,aligned,1,102,FALSE,Mental Health,0.16831683168316833
train-00317,925,val,aligned,1,134,FALSE,health,0.45112781954887216
train-00318,523,train,aligned,1,119,FALSE,self-care,0.01694915254237288
train-00319,704,val,aligned,2,114,FALSE,Recreation,0.5575221238938053
train-00320,732,train,aligned,2,99,FALSE,health,0.6836734693877551
train-00321,729,val,aligned,2,99,FALSE,health,0.10204081632653061
train-00322,688,train,aligned,2,108,TRUE,Relationships,0.308411214953271
train-00323,591,train,aligned,2,125,FALSE,music,0.08064516129032258
train-00324,931,train,aligned,1,114,FALSE,Work,0.6194690265486725
train-00325,381,train,missing_exact_sequence,0,120,FALSE,outreach,
train-00326,14,val,aligned,1,98,FALSE,DIY,0.6701030927835051
train-00327,414,train,aligned,1,136,FALSE,Relaxation,0.05925925925925926
train-00328,927,train,aligned,2,104,FALSE,Health,0.7572815533980582
train-00329,983,train,aligned,2,114,FALSE,Self-help,0.831858407079646
train-00330,861,train,aligned,2,118,FALSE,Wellness,0.5213675213675214
train-00331,819,train,aligned,2,107,TRUE,Work,0.11320754716981132
train-00332,657,train,aligned,2,122,FALSE,Food,0.1322314049586777
train-00333,659,val,missing_exact_sequence,0,109,FALSE,travel,
train-00334,125,train,aligned,1,99,FALSE,Mental Health,0.7244897959183674
train-00335,220,train,aligned,1,124,FALSE,Food,0.4065040650406504
train-00336,990,train,aligned,2,113,FALSE,Food,0.3392857142857143
train-00337,887,train,aligned,2,100,TRUE,Education,0.31313131313131315
train-00338,751,train,aligned,2,124,TRUE,Work,0.7723577235772358
train-00339,719,train,aligned,2,103,FALSE,Food,0.6568627450980392
train-00340,455,train,aligned,1,127,FALSE,Sleep,0.0873015873015873
train-00341,367,val,aligned,1,103,FALSE,Home,0.38235294117647056
train-00342,550,train,aligned,2,133,FALSE,Work,0.29545454545454547
train-00343,115,train,aligned,3,104,FALSE,Health,0.7281553398058253
train-00344,634,train,aligned,1,120,FALSE,wellness,0.5882352941176471
train-00345,648,val,aligned,1,100,FALSE,Entertainment,0.21212121212121213
train-00346,739,train,aligned,1,101,FALSE,health,0.12
train-00347,596,train,aligned,1,121,FALSE,Relationships,0.675
train-00348,834,train,aligned,2,136,FALSE,Travel,0.21481481481481482
train-00349,535,train,aligned,1,126,FALSE,travel,0.048
train-00350,138,train,missing_exact_sequence,0,106,FALSE,community,
train-00351,205,train,aligned,1,134,FALSE,Entertainment,0.39849624060150374
train-00352,190,train,aligned,1,85,FALSE,Food,0.15476190476190477
train-00353,898,val,aligned,2,120,FALSE,entertainment,0.7142857142857143
train-00354,514,train,aligned,2,118,FALSE,Home,0.7264957264957265
train-00355,646,train,aligned,2,121,FALSE,travel,0.24166666666666667
train-00356,591,train,aligned,1,125,FALSE,fitness,0.2661290322580645
train-00357,154,train,aligned,2,116,FALSE,relationships,0.5304347826086957
train-00358,812,train,aligned,2,79,TRUE,Entertainment,0.3974358974358974
train-00359,547,val,aligned,1,120,FALSE,Travel,0.5714285714285714
train-00360,824,train,aligned,2,126,FALSE,Leisure,0.688
train-00361,997,train,aligned,1,118,FALSE,Travel,0.5213675213675214
train-00362,864,train,aligned,1,95,FALSE,Communication,0.6702127659574468
train-00363,854,train,aligned,1,92,FALSE,Relationships,0.25274725274725274
train-00364,388,train,aligned,2,126,TRUE,Celebrations,0.416
train-00365,964,train,aligned,2,113,TRUE,Community,0.20535714285714285
train-00366,222,val,aligned,2,98,TRUE,Travel,0.41237113402061853
train-00367,673,val,aligned,1,127,FALSE,motivation,0.7857142857142857
train-00368,311,train,missing_exact_sequence,0,111,FALSE,security,
train-00369,567,train,aligned,1,121,FALSE,Health,0.7416666666666667
train-00370,976,train,aligned,1,124,FALSE,Shopping,0.18699186991869918
train-00371,503,train,aligned,1,102,FALSE,Health,0.693069306930693
train-00372,404,train,aligned,1,143,FALSE,Sports,0.852112676056338
train-00373,929,train,aligned,1,110,FALSE,Travel,0.3119266055045872
train-00374,428,train,aligned,2,92,TRUE,Fashion,0.03296703296703297
train-00375,739,train,aligned,1,101,FALSE,entertainment,0.49
train-00376,830,val,aligned,1,117,FALSE,health,0.1896551724137931
train-00377,797,train,missing_exact_sequence,0,102,FALSE,finance,
train-00378,896,train,aligned,1,111,FALSE,Hobbies,0.8272727272727273
train-00379,420,train,aligned,1,96,FALSE,travel,0.08421052631578947
train-00380,544,val,aligned,2,107,FALSE,Outdoors,0.0660377358490566
train-00381,789,train,aligned,2,116,FALSE,Study,0.6521739130434783
train-00382,708,train,aligned,1,119,FALSE,mental health,0.03389830508474576
train-00383,943,val,aligned,1,132,FALSE,home,0.17557251908396945
train-00384,148,val,missing_exact_sequence,0,98,FALSE,community,
train-00385,106,train,aligned,1,134,FALSE,Food,0.17293233082706766
train-00386,574,train,aligned,2,115,FALSE,fashion,0.6929824561403509
train-00387,846,train,aligned,2,121,FALSE,Social,0.36666666666666664
train-00388,723,train,aligned,1,115,FALSE,Home,0.7456140350877193
train-00389,497,val,aligned,1,134,FALSE,Crafts,0.6466165413533834
train-00390,12,train,aligned,1,102,FALSE,Health,0.32673267326732675
train-00391,79,val,aligned,1,124,FALSE,Entertainment,0.8780487804878049
train-00392,704,val,aligned,1,114,FALSE,Fashion,0.35398230088495575
train-00393,42,train,aligned,1,131,FALSE,Work,0.2076923076923077
train-00394,415,train,aligned,2,131,TRUE,Work,0.8384615384615385
train-00395,651,train,aligned,2,99,FALSE,Travel,0.6632653061224489
train-00396,900,train,aligned,1,118,FALSE,Books,0.017094017094017096
train-00397,424,train,aligned,2,101,FALSE,Entertainment,0.37
train-00398,234,train,aligned,2,132,TRUE,Entertainment,0.7938931297709924
train-00399,929,train,aligned,1,110,FALSE,Books,0.009174311926605505
train-00400,143,train,aligned,1,108,FALSE,Home,0.16822429906542055
train-00401,706,train,missing_exact_sequence,0,104,FALSE,security,
train-00402,132,train,aligned,1,106,FALSE,Relationships,0.42857142857142855
train-00403,667,val,aligned,1,117,FALSE,Health,0.2413793103448276
train-00404,918,train,aligned,1,107,FALSE,Work,0.05660377358490566
train-00405,882,train,aligned,2,113,FALSE,Relationships,0.4732142857142857
train-00406,40,train,aligned,2,110,FALSE,Health,0.6880733944954128
